"","A2","A3","A4","A6","A7","A8","B1","B2","B3","B4","B5","D1","D3","G1","J1","J2","J4","J5","J6","K1","K2","K4","K5","K6","L1","M1","M2","M3","M4","N1","N2","N3","S1","U3","U4","MA","U1","U2"
"Sitta_leucopsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"Sitta_cinnamoventris",0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,4
"Sitta_himalayensis",0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sitta_frontalis",0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"Sitta_formosa",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Troglodytes_troglodytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
"Certhia_himalayana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,4,0,0,6,0,8,0,2,0,0,0,0,0,0,0,0,0,0
"Certhia_discolor",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Certhia_nipalensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"Certhia_familiaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0
"Orthotomus_sutorius",2,0,0,0,0,8,0,2,2,2,0,0,0,0,14,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0
"Prinia_socialis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Prinia_hodgsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,8
"Prinia_crinigera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aegithalos_niveogularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"Aegithalos_concinnus",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abroscopus_superciliaris",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cettia_fortipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phyllergates_cucullatus",0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesia_castaneocoronata",0,0,0,14,16,0,4,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,14,0,0,6,0,0,0,0,0
"Cettia_brunnifrons",0,0,0,0,0,0,0,0,0,0,0,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Tesia_olivea",0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesia_cyaniventer",0,0,0,0,6,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"Phylloscopus_maculipennis",0,0,0,14,6,0,2,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,4,0,0,0,0,0
"Phylloscopus_pulcher",0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,0,4,0,26,8,0,0,0,0,0,0
"Phylloscopus_humei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,44,0,8,0,0,0,0,0,0,0,0,0,0,0
"Phylloscopus_chloronotus",0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,12,36,0,4,16,0,16,0,14,0,20,8,14,0,0,0,0,0,0
"Phylloscopus_tytleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phylloscopus_affinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phylloscopus_cantator",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phylloscopus_occipitalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,28,0,12,14,10,0,0,24,0,0,0,0,0,0,0,0,0,0
"Phylloscopus_reguloides",0,0,0,28,28,0,24,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,16,0,0,14,0,0,0,0,0
"Phylloscopus_xanthoschistos",0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,6,16,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,6,10,0
"Seicercus_castaniceps",0,0,0,20,16,0,18,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"Phylloscopus_trochiloides",0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,16,22,0,0,0,0,0,0
"Phylloscopus_magnirostris",0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Seicercus_whistleri",0,0,0,22,12,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,12,16,0,0,30,0,12,12,0,0,0,0,0
"Seicercus_affinis",0,0,0,0,0,0,18,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seicercus_burkii",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seicercus_poliogenys",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grammatoptila_striata",0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
